,tweetid,created_at,user_name,text,favourite_count,retweet_count,location,hashtags,Vader_scores,sentiment,Aditya_Sentiment,Darshan_Sentiment,Sahil_Sentiment
0,1.30E+18,9/10/20 23:55,mistytaka,b'RT Anon decoder Libertards getting destroyed anywhere pop heads Qanon Maga Tesla Trump Trump2020 Trump2020Landslide htt xe2 x80 xa6',0,31,Zimbabwe,Qanon Maga Tesla Trump Trump2020 Trump2020Landslide ,-0.4939,neutral,neutral,neutral,neutral
1,1.30E+18,9/10/20 23:48,Moni5010,b' MonicaLewinsky elonmusk Teslarati Tesla TeslaratiTeam Model3Owners TeslaClubBE TeslaMotorsClub xf0 x9f xa4 xa6 xf0 x9f x8f xbd xe2 x80 x8d xe2 x99 x80 xef xb8 x8fA xe2 x80 xa6',0,0,Texas,,0,neutral,neutral,neutral,neutral
2,1.30E+18,9/10/20 23:44,JesseGr69932413,"b'RT TDANetwork xe2 x80 x9c Tesla xe2 x80 x99s around 10 years, Rivian xe2 x80 x99s working pickup truck well, none supply cha xe2 x80 xa6'",0,71,"Mount Dora, FL",Tesla ,0.2732,neutral,neutral,neutral,neutral
3,1.30E+18,9/10/20 23:34,SANETHA888,b'RT garyblack00 Send message Buy Tesla. RBReich elonmusk',0,11,"WALLACEBURG, ONTARIO",Tesla ,0,neutral,positive,positive,positive
4,1.30E+18,9/10/20 23:31,joefiega,b'T minus 9 days never buy gas again. tesla',17,1,"Indianapolis, IN",tesla ,0,neutral,positive,positive,positive
5,1.30E+18,9/10/20 23:29,HereIAm65094900,"b'RT TDANetwork xe2 x80 x9c Tesla xe2 x80 x99s around 10 years, Rivian xe2 x80 x99s working pickup truck well, none supply cha xe2 x80 xa6'",0,71,,Tesla ,0.2732,neutral,neutral,neutral,neutral
6,1.30E+18,9/10/20 23:23,tinsaearegay,b RT torquenewsauto Tesla filed patent related Semi truck is liquid cooling. The patent says'Liquid Cooled Charging Cable Connecto xe2 x80 xa6 ,0,7,,,0,neutral,positive,positive,positive
7,1.30E+18,9/10/20 23:21,tech_jdc,b'Thoughts XpengMotors xpeng vs tesla',0,0,"Salisbury, NC",xpeng tesla ,0,neutral,neutral,neutral,neutral
8,1.30E+18,9/10/20 23:11,tabbypotter,b' elonmusk MonicaLewinsky brain cancer fighting awhile wan na give one try lol xe2 x80 xa6',0,0,Albuquerque,,-0.6249,negative,negative,negative,neutral
9,1.30E+18,9/10/20 23:04,ricardo_ik_ahau,b'RT TTacticks Temporary shortsell nvidia stockmarket. Should got better price eyes Tesla apple xe2 x80 xa6',0,1,Benito Juárez,shortsell nvidia stockmarket price Tesla apple ,0.4404,neutral,positive,positive,neutral
10,1.30E+18,9/10/20 22:50,TCrossmd,b'RT LabsSentinel Agent Tesla Old RAT Uses New Tricks Stay Top SentinelLabs Agent Tesla RAT infose xe2 x80 xa6',0,3,Greater Detroit Area,Agent Tesla RAT ,0.0772,neutral,neutral,neutral,neutral
11,1.30E+18,9/10/20 22:49,LabsSentinel,b'Agent Tesla Old RAT Uses New Tricks Stay Top SentinelLabs Agent Tesla RAT infosec PHP',2,3,United States,Agent Tesla RAT infosec PHP ,0.0772,neutral,neutral,neutral,neutral
12,1.30E+18,9/10/20 22:48,8muerte,b'RT garyblack00 Send message Buy Tesla. RBReich elonmusk',0,11,San Francisco,Tesla ,0,neutral,positive,neutral,positive
13,1.30E+18,9/10/20 22:44,EllieBray10,b'RT Travisdleslie Just check Tesla site every model nothing available 8 14 week xf0 x9f x91 x80 tsla tesla evs ev ElectricVehicl xe2 x80 xa6',0,2,,tsla tesla evs ev ,0,neutral,neutral,neutral,negative
14,1.30E+18,9/10/20 22:26,kit_electric,b'Never noticed before. The Tesla camera see white painted STOP sign road',0,0,NoVA,Tesla ,-0.4466,neutral,neutral,neutral,positive
15,1.30E+18,9/10/20 22:24,timpsheridan,"b' Tesla elonmusk animation neat, simply use forward facing camera? keepitsimple Tesla'",0,0,Wisconsin,keepitsimple Tesla ,0.4588,neutral,neutral,positive,positive
16,1.30E+18,9/10/20 22:21,tradetraderson,"b'RT TDANetwork xe2 x80 x9c Tesla xe2 x80 x99s around 10 years, Rivian xe2 x80 x99s working pickup truck well, none supply cha xe2 x80 xa6'",0,71,Everywhere and Nowhere,Tesla ,0.2732,neutral,neutral,neutral,neutral
17,1.30E+18,9/10/20 22:18,jjgoldbond,b'Just one reason won xe2 x80 x99t consider buying recommending Tesla right now. The drivetrain assisted drivin xe2 x80 xa6',1,0,Cleveland,Tesla ,0.5719,positive,positive,positive,positive
18,1.30E+18,9/10/20 22:18,FierceBadger420,b RT torquenewsauto Tesla filed patent related Semi truck is liquid cooling. The patent says'Liquid Cooled Charging Cable Connecto xe2 x80 xa6 ,0,7,,,0,neutral,positive,neutral,positive
19,1.30E+18,9/10/20 22:08,Eleanor19302501,b'RT HansLak Tesla stock price 12 why? $ 1550 stock split? Seriously? Wait battery day September to xe2 x80 xa6',0,10,,Tesla ,-0.3049,neutral,neutral,neutral,neutral
20,1.30E+18,9/10/20 22:01,EasternShoe,"b' usa losangles cars tesla arizona AUKEY Dash Cam, 1080P Dashboard'",0,0,United States,usa losangles cars tesla arizona ,0,neutral,neutral,neutral,neutral
21,1.30E+18,9/10/20 21:54,Path_Trading,b' $ TSLA TESLA Sept 10 Update Technical Analysis Chart Watch StockMarket stocks xe2 x80 xa6',2,1,"Chicago, IL",TESLA StockMarket stocks ,0,neutral,neutral,neutral,neutral
22,1.30E+18,9/10/20 21:54,Jo_Cespedes,b'RT johnrampton Elon Musk xe2 x80 x99s Net Worth Nears $ 100 Billion As Tesla Stock Burns Rubber Hayley C. Cuccinello Fo xe2 x80 xa6',0,2,,,0.2263,neutral,neutral,neutral,neutral
23,1.30E+18,9/10/20 21:54,andyblandina,b'RT johnrampton Elon Musk xe2 x80 x99s Net Worth Nears $ 100 Billion As Tesla Stock Burns Rubber Hayley C. Cuccinello Fo xe2 x80 xa6',0,2,,,0.2263,neutral,neutral,neutral,neutral
24,1.30E+18,9/10/20 21:49,johnrampton,b'Elon Musk xe2 x80 x99s Net Worth Nears $ 100 Billion As Tesla Stock Burns Rubber Hayley C. Cuccine xe2 x80 xa6',5,2,"Salt Lake City, UT",,0.2263,neutral,neutral,neutral,neutral
25,1.30E+18,9/10/20 21:46,KalemaChris,b'RT PROMOrxTeam xe2 x9d x97 xef xb8 x8f xe2 x9d x97 xef xb8 x8f xe2 x9d x97 xef xb8 x8f cybersecurity InfoSec infosecurity tesla Employee Loyalty. Wow.',0,1,"Kampala, Uganda ",cybersecurity InfoSec infosecurity tesla ,0.5423,positive,positive,positive,positive
26,1.30E+18,9/10/20 21:45,PROMOrxTeam,b' xe2 x9d x97 xef xb8 x8f xe2 x9d x97 xef xb8 x8f xe2 x9d x97 xef xb8 x8f cybersecurity InfoSec infosecurity tesla Employee Loyalty. Wow.',0,1,USA,cybersecurity InfoSec infosecurity tesla ,0.5423,positive,positive,positive,positive
27,1.30E+18,9/10/20 21:37,mattlion5555,b'It xe2 x80 x99s hilarious watching Dave Portnoy margin losing ass stock market. The day everyone knew come xe2 x80 xa6',2,0,"Texas, USA",,-0.5267,negative,negative,negative,neutral
28,1.30E+18,9/10/20 21:36,_mistabusiness,b'Thanks elonmusk everything dreamed more. Tesla',6,0,"Warrensburg, MO",Tesla ,0,neutral,neutral,neutral,positive
29,1.30E+18,9/10/20 21:24,fodo_app,b'personally think elonmusk idiot. But bashing strength TESLA stock less idiotic. xe2 x80 xa6',0,0,United States,TESLA ,-0.5279,negative,negative,negative,negative
30,1.30E+18,9/10/20 21:14,mmavonleigh,"b'RT TDANetwork xe2 x80 x9c Tesla xe2 x80 x99s around 10 years, Rivian xe2 x80 x99s working pickup truck well, none supply cha xe2 x80 xa6'",0,71,,Tesla ,0.2732,neutral,neutral,positive,positive
31,1.30E+18,9/10/20 20:58,blackP3D,b' NedCline1 MonicaLewinsky A Tesla Model 3 AWD gets equivalent 122MPG. Plus don xe2 x80 x99t go filthy g xe2 x80 xa6',2,0,"North Carolina, USA",,0,neutral,neutral,neutral,neutral
32,1.30E+18,9/10/20 20:45,WintersAggie,b' MonicaLewinsky love Tesla',0,0,United States,Tesla ,0.6369,positive,positive,positive,positive
33,1.30E+18,9/10/20 20:45,torquenewsauto,b'According Wirtschaft Voche Tesla wants expand Gr xc3 xbcnheide buy additional twelve hectares for xe2 x80 xa6',3,1,"Fort Mill, SC",Tesla ,0.3182,neutral,neutral,neutral,neutral
34,1.30E+18,9/10/20 20:43,BIM_Scot,"b RT torquenewsauto Tesla aims start Cybertruck production is trial Giga Texas May 1st, 2021, government filing shows date f xe2 x80 xa6 ",0,1,Europe,,0,neutral,positive,positive,positive
35,1.30E+18,9/10/20 20:29,altcoingazette,b'RT altcoingazette European Central Bank Expects To Use Full Extent Of Stimulus Hyperinflation negative interest rates',0,1,"Tallahassee, Florida",,-0.1779,neutral,neutral,neutral,neutral
36,1.30E+18,9/10/20 20:23,SptsGuy1,b' future FOCUS ON THE FUTURE technology ElonMusk Tesla Amazon citiesofthefuture',1,1,"Rural Hall, NC",future technology ElonMusk Tesla Amazon citiesofthefuture ,0.1779,neutral,neutral,neutral,neutral
37,1.30E+18,9/10/20 20:04,gta_motorsport,b'RT JoonasPRKL Coil Savanna xe2 x9a xa1 Mod WildBrick142 coil savanna grandtheftauto gtavmods gtavpc gta5 gtav xe2 x80 xa6',0,10,,coil savanna grandtheftauto gtavmods gtavpc gta5 gtav ,0,neutral,neutral,neutral,neutral
38,1.30E+18,9/10/20 20:03,RVal1995,"b'What market me, refuse give up xf0 x9f x94 xa5 xf0 x9f x92 xaa xf0 x9f x94 xa5 Tesla NASDAQ DowJones'",0,0," AZ, USA",Tesla NASDAQ DowJones ,-0.296,neutral,neutral,neutral,neutral
39,1.30E+18,9/10/20 20:02,torquenewsauto,"b Tesla aims start Cybertruck production is trial Giga Texas May 1st, 2021, government filing shows da xe2 x80 xa6 ",4,1,"Fort Mill, SC",,0,neutral,neutral,neutral,neutral
40,1.30E+18,9/10/20 20:01,Posh_Properties,"b' xf0 x9f x93 xb0 xf0 x9f x8e x89Congratulations Broker Owner, Mary Anne McMahon! She featured Tribeza Magazine, Austin based mag xe2 x80 xa6'",1,0,"Austin, TX",,0,neutral,neutral,positive,positive
41,1.30E+18,9/10/20 20:00,jmroberge,b'Production volume one thing. Technology another. Time tell point Tesla way ahead f xe2 x80 xa6',0,0,mobile,Tesla ,0,neutral,neutral,neutral,neutral
42,1.30E+18,9/10/20 19:47,AutoSpies,b'Volkswagen Believes It Can Out Produce Tesla By 2023 AutoSpies Auto News VW tesla EV',0,0,"Plano, Texas",VW tesla EV ,0,neutral,neutral,neutral,neutral
43,1.30E+18,9/10/20 19:47,Prissy581,b'RT Anon decoder Libertards getting destroyed anywhere pop heads Qanon Maga Tesla Trump Trump2020 Trump2020Landslide htt xe2 x80 xa6',0,31,,Qanon Maga Tesla Trump Trump2020 Trump2020Landslide ,-0.4939,neutral,neutral,neutral,neutral
44,1.30E+18,9/10/20 19:45,leaderpost,b' LucidMotors reveals LucidAir direct Tesla competitor. Via drivingdotca lucid',0,0,"Regina, Saskatchewan",LucidAir Tesla lucid ,0,neutral,neutral,neutral,negative
45,1.30E+18,9/10/20 19:40,AlexJeffrey95,b RT torquenewsauto Tesla filed patent related Semi truck is liquid cooling. The patent says'Liquid Cooled Charging Cable Connecto xe2 x80 xa6 ,0,7,"London, England",,0,neutral,neutral,neutral,positive
46,1.30E+18,9/10/20 19:35,WRGerman,b'RT garyblack00 Send message Buy Tesla. RBReich elonmusk',0,11,Earth,Tesla ,0,neutral,neutral,neutral,positive
47,1.30E+18,9/10/20 19:34,rickym81986,"b'RT torquenewsauto While amazed astonishing speed Tesla GigaBerlin GigaShanghai, Tesla spearheading anoth xe2 x80 xa6'",0,3,Citizen of the world ,GigaBerlin GigaShanghai Tesla ,0.4939,neutral,neutral,neutral,neutral
48,1.30E+18,9/10/20 19:14,TeslaLV,b'The supercharger Kingman expanded 4 temporary charging spots. Good see. Tesla LasVegas',2,0,"Las Vegas, NV",Tesla LasVegas ,0.4404,neutral,neutral,positive,positive
49,1.30E+18,9/10/20 19:13,Iamcat62,b'RT Anon decoder Libertards getting destroyed anywhere pop heads Qanon Maga Tesla Trump Trump2020 Trump2020Landslide htt xe2 x80 xa6',0,31,Texas,Qanon Maga Tesla Trump Trump2020 Trump2020Landslide ,-0.4939,neutral,neutral,neutral,neutral
50,1.30E+18,9/10/20 19:11,JMMZHerrera,b'Just back Home Depot Has m xc3 xa1s. Ahorrando . almost enough parts build Tesla ModelY using motor xe2 x80 xa6',0,0,"Hermosillo, Sonora, MX",Tesla ModelY ,0,neutral,neutral,neutral,neutral
51,1.30E+18,9/10/20 19:06,torquenewsauto,b Tesla filed patent related Semi truck is liquid cooling. The patent says'Liquid Cooled Charging Cable Conn xe2 x80 xa6 ,42,7,"Fort Mill, SC",,0,neutral,neutral,neutral,positive
52,1.30E+18,9/10/20 19:06,RoseLeoMusk,b' Tesla Germany All going planned',4,0,E̬̦̫͔̙̗͕͢l̮̞͟o̜n̹̹̞̘͕̘ ส้้้้้้,Tesla Germany ,0,neutral,neutral,neutral,positive
53,1.30E+18,9/10/20 19:05,altcoingazette,b'European Central Bank Expects To Use Full Extent Of Stimulus Hyperinflation negative interest rates xe2 x80 xa6',2,1,"Tallahassee, Florida",,-0.1779,neutral,neutral,neutral,neutral
54,1.30E+18,9/10/20 19:00,DAVIDTR23812186,b'Godspeed TESLA incredible journey fulfill mission Let xe2 x80 x99s Do This $ TSLA',0,0,"Minneapolis, MN",TESLA ,0.4404,neutral,neutral,neutral,neutral
55,1.30E+18,9/10/20 18:59,BIM_Scot,"b'RT torquenewsauto While amazed astonishing speed Tesla GigaBerlin GigaShanghai, Tesla spearheading anoth xe2 x80 xa6'",0,3,Europe,GigaBerlin GigaShanghai Tesla ,0.4939,neutral,neutral,neutral,neutral
56,1.30E+18,9/10/20 18:58,01moreland10,b'RT garyblack00 Send message Buy Tesla. RBReich elonmusk',0,11,"Ontario, Canada",Tesla ,0,neutral,neutral,neutral,positive
57,1.30E+18,9/10/20 18:58,edielps3,"b'RT TDANetwork xe2 x80 x9c Tesla xe2 x80 x99s around 10 years, Rivian xe2 x80 x99s working pickup truck well, none supply cha xe2 x80 xa6'",0,71,#BoricuaIn305,Tesla ,0.2732,neutral,neutral,neutral,neutral
58,1.30E+18,9/10/20 18:55,lacaverajr,"b'need get money right projects going. cant wait. Need new car, old one broke perf xe2 x80 xa6'",0,0,"Ohio, USA",,-0.4215,neutral,neutral,neutral,neutral
59,1.30E+18,9/10/20 18:53,taz_didier,b'What y 'all think one thing 09 22? Tesla BatteryDay Tesla',0,0,Earth,Tesla BatteryDay ,0,neutral,neutral,neutral,neutral
60,1.30E+18,9/10/20 18:40,SocialHQpro,b'RT DalejChristel Reminds old saying One piece scrap ruin day! DieCast Tesla Nikola Byton Amazon',0,4,,DieCast Tesla Nikola Byton Amazon ,-0.5255,negative,negative,negative,negative
61,1.30E+18,9/10/20 18:26,ARadicalThough1,b'expect long leg dip 360 $ tsla tesla stocks',0,0,United States,tesla stocks ,0,neutral,positive,neutral,neutral
62,1.30E+18,9/10/20 18:19,RebeccaEverlene,b What Is Stock Split? Apple Tesla slicing shares. Here is means you. More her xe2 x80 xa6 ,0,0,Chicago,Stock Split Apple Tesla ,0.296,neutral,neutral,neutral,neutral
63,1.30E+18,9/10/20 18:17,ARadicalThough1,b' $ tsla classic head shoulders pattern. This indicative trend breaking. In case short live xe2 x80 xa6',3,1,United States,,0,neutral,neutral,neutral,neutral
64,1.30E+18,9/10/20 18:16,theJakubKeller,b Calling scams see'em. think people owe apology. Nikola cough Motors. NikolaGate xe2 x80 xa6 ,0,0,"Cleveland, OH",NikolaGate ,-0.5574,negative,negative,negative,negative
65,1.30E+18,9/10/20 18:16,thuhkang,b' xf0 x9f x92 xa5Hope yall caught good money $ TSLA drop. tend cut bit earlier posted trades folks fo xe2 x80 xa6',8,0,"Atlanta, GA",,-0.0772,neutral,neutral,neutral,neutral
66,1.30E+18,9/10/20 18:14,ROIrootsdotcom,"b'Many many people gambling savings chasing speculative stocks like Tesla, lose shirt. 98 xe2 x80 xa6'",0,0,United States,,0.0516,neutral,neutral,neutral,neutral
67,1.30E+18,9/10/20 18:14,ROIrootsdotcom,"b'If know are, stock market expensive place find out. Josh Brown finance xe2 x80 xa6'",0,0,United States,finance ,0,neutral,neutral,neutral,neutral
68,1.30E+18,9/10/20 18:13,TamaraCDaniels,b What Is Stock Split? Apple Tesla slicing shares. Here is means you. More her xe2 x80 xa6 ,0,1,Chicago,Stock Split Apple Tesla ,0.296,neutral,neutral,neutral,neutral
69,1.30E+18,9/10/20 18:08,brandonbernicky,b'RT 28delayslater Tesla join S and amp P month. $ TSLA',0,2,Chicago Illinois,Tesla ,0.296,neutral,neutral,neutral,neutral
70,1.30E+18,9/10/20 18:03,todd_gleason,"b Holy cow Tesla moves fast. Pickup scheduled Saturday. That is one week, included holiday. Order P xe2 x80 xa6 ",0,0,"Colorado Springs, CO",Tesla ,0.4019,neutral,neutral,neutral,neutral
71,1.30E+18,9/10/20 18:00,DalejChristel,b'Reminds old saying One piece scrap ruin day! DieCast Tesla Nikola Byton Amazon',4,4,"Wisconsin, USA",DieCast Tesla Nikola Byton Amazon ,-0.5255,negative,negative,negative,negative
72,1.30E+18,9/10/20 17:49,nataliemborn,b'Have ever wondered Tesla SpaceX amazon apple innovative? Listen here xe2 x80 xa6',2,0,"Atlanta, GA",Tesla SpaceX amazon apple innovative ,0.5574,positive,positive,positive,positive
73,1.30E+18,9/10/20 17:42,thuhkang,b' $ TSLA well defined intraday pennant strong support 381.1. Pattern resistance 385.2 385.5 Tesla xe2 x80 xa6',7,0,"Atlanta, GA",Tesla ,0.7964,positive,positive,positive,positive
74,1.30E+18,9/10/20 17:41,musiccritic11,b' KanyeWest Drops OUT Of Race After ElonMusk Offers Him Position As PresidentOfMars o v xe2 x80 xa6',2,0,"Dallas, TX",KanyeWest OUT Race ElonMusk PresidentOfMars ,0,neutral,neutral,neutral,neutral
75,1.30E+18,9/10/20 17:17,SnakeFireBBQ,b'Tesla feature car gets stolen branding car switch Tesla Edison. xe2 x80 xa6',1,0,"Dallas, TX",,-0.4939,neutral,negative,negative,negative
76,1.30E+18,9/10/20 17:05,Path_Trading,b' $ TSLA Long Gap Play TESLA Sept 9 Update Technical Analysis Chart Watch ',0,0,"Chicago, IL",TESLA ,0.34,neutral,neutral,neutral,neutral
77,1.30E+18,9/10/20 17:04,SpeedwaySalvage,b'Check 17 19 Tesla Model 3 Rear Passenger Right Knuckle Hub 1044416 00 F OEM Tesla via eBay',0,0,"Madison, Illinois",Tesla ,0,neutral,neutral,neutral,neutral
78,1.30E+18,9/10/20 17:04,SpeedwaySalvage,b'Check 17 19 Tesla Model 3 Rear Driver Left Knuckle Hub 1044411 00 F OEM Tesla via eBay',0,0,"Madison, Illinois",Tesla ,0,neutral,neutral,neutral,neutral
79,1.30E+18,9/10/20 17:04,SpeedwaySalvage,b'Check 17 19 Tesla Model 3 Rear Trunk Deck Lid Hatch Wiring Harness 1068789 00 E OEM Tesla via eBay',0,0,"Madison, Illinois",Tesla ,0,neutral,neutral,neutral,neutral
80,1.30E+18,9/10/20 17:04,SpeedwaySalvage,b'Check 17 19 Tesla Model 3 Rear 74.0 7200P Coil Spring Insulator 1044472 94 A Tesla via eBay',0,0,"Madison, Illinois",Tesla ,0,neutral,neutral,neutral,neutral
81,1.30E+18,9/10/20 17:04,SpeedwaySalvage,b'Check 17 19 Tesla Model 3 Rear 74.0 7200P Coil Spring Insulator 1044472 94 A OEM Tesla via eBay',0,0,"Madison, Illinois",Tesla ,0,neutral,neutral,neutral,neutral
82,1.30E+18,9/10/20 17:03,SpeedwaySalvage,b'Check 17 19 Tesla Model 3 FM HD Radio Receiver Control Module 1079749 Tesla via eBay',0,0,"Madison, Illinois",Tesla ,0,neutral,neutral,neutral,neutral
83,1.30E+18,9/10/20 17:03,SpeedwaySalvage,b'Check 17 19 Tesla Model 3 Front Right Bumper Wheelhouse Liner Stiffener Bracket Set Tesla via eBay',0,0,"Madison, Illinois",Tesla ,0,neutral,neutral,neutral,neutral
84,1.30E+18,9/10/20 17:03,SpeedwaySalvage,b'Check 17 19 Tesla Model 3 Rear Right Left Brake Hose Line GB16897 Tesla via eBay',0,0,"Madison, Illinois",Tesla ,0,neutral,neutral,neutral,neutral
85,1.30E+18,9/10/20 17:03,SpeedwaySalvage,b'Check 17 19 Tesla Model 3 Rear Right Left Brake Hose Line GB16897 OEM Tesla via eBay',0,0,"Madison, Illinois",Tesla ,0,neutral,neutral,neutral,neutral
86,1.30E+18,9/10/20 17:03,SpeedwaySalvage,b'Check 17 19 Tesla Model 3 Rear 2nd Row Seat Belt Retractor Black 1081281 Tesla via eBay',0,0,"Madison, Illinois",Tesla ,0,neutral,neutral,neutral,neutral
87,1.30E+18,9/10/20 16:55,Philzlike98,b'RT Anon decoder Libertards getting destroyed anywhere pop heads Qanon Maga Tesla Trump Trump2020 Trump2020Landslide htt xe2 x80 xa6',0,31,,Qanon Maga Tesla Trump Trump2020 Trump2020Landslide ,-0.4939,neutral,neutral,neutral,neutral
88,1.30E+18,9/10/20 16:51,FlywheelNews,b'Now interesting take production ramp! xf0 x9f x91 x8d Go tesla',0,0,United states,tesla ,0.4574,neutral,neutral,neutral,neutral
89,1.30E+18,9/10/20 16:48,StevenZWang,b'RT garyblack00 Send message Buy Tesla. RBReich elonmusk',0,11,"Cupertino, CA",Tesla ,0,neutral,neutral,neutral,positive
90,1.30E+18,9/10/20 16:40,RoofContr,"b'An influx new job postings suggests Tesla expanding Solar Roof operations, may offering i xe2 x80 xa6'",4,0,"Troy, MI",,0,neutral,neutral,neutral,positive
91,1.30E+18,9/10/20 16:02,Insurmountabl1,b'RT garyblack00 Send message Buy Tesla. RBReich elonmusk',0,11,"Denver, CO",Tesla ,0,neutral,neutral,neutral,positive
92,1.30E+18,9/10/20 15:59,garyblack00,b'Send message Buy Tesla. RBReich elonmusk',118,11,"Chicago, IL",Tesla ,0,neutral,neutral,neutral,positive
93,1.30E+18,9/10/20 15:31,torquenewsauto,"b'While amazed astonishing speed Tesla GigaBerlin GigaShanghai, Tesla spearheading a xe2 x80 xa6'",10,3,"Fort Mill, SC",GigaBerlin GigaShanghai Tesla ,0.4939,neutral,positive,positive,positive
94,1.30E+18,9/10/20 15:29,plsbereasonable,b'Meaning behind Tesla logo',1,0,Earth,Tesla ,0,neutral,neutral,neutral,neutral
95,1.30E+18,9/10/20 15:27,SecdevB,b'RT JeffreyAWelch Tesla recently target Russian criminals looking introduce malware systems Tesla emplo xe2 x80 xa6',0,1,,,-0.5719,negative,negative,negative,negative
96,1.30E+18,9/10/20 15:26,JeffreyAWelch,b'Tesla recently target Russian criminals looking introduce malware systems Tesla xe2 x80 xa6',0,1,"Phoenix, AZ",,-0.5719,negative,negative,negative,negative
97,1.30E+18,9/10/20 15:22,SolutionChicago,"b'Tesla Investor Forum. Live chat, breaking news, detailed analysis. Join community o xe2 x80 xa6'",0,0,"Chicago, IL",,0.296,neutral,neutral,neutral,neutral
98,1.30E+18,9/10/20 15:19,AutomobilesDot,"b'RT arobbo26 First ever Tesla ordered today, time see Model3 like live'",0,5,,Tesla Model3 ,0.3612,neutral,neutral,neutral,neutral
99,1.30E+18,9/10/20 15:13,theJakubKeller,b Remember said wished got Tesla $ 80 $ 170 $ 340? You have got another chance ge xe2 x80 xa6 ,1,0,"Cleveland, OH",,0.25,neutral,neutral,neutral,neutral